sample_id,doc_type,注入的退化类型,原因码,图片路径,expected_verdict_填这里,key_reason_codes_可选,note_可选
golden-bank_card-blur-00,bank_card,blur,image_blur,data/processed/bank_card/blur/bank_card_0001.png,,,
golden-bank_card-bright-00,bank_card,bright,image_bright,data/processed/bank_card/bright/bank_card_0001.png,,,
golden-bank_card-dark-00,bank_card,dark,image_dark,data/processed/bank_card/dark/bank_card_0001.png,,,
golden-bank_card-glare-00,bank_card,glare,glare_detected,data/processed/bank_card/glare/bank_card_0001.png,,,
golden-bank_card-normal-00,bank_card,normal,（无）,data/processed/bank_card/normal/bank_card_0001.png,,,
golden-id_card-blur-00,id_card,blur,image_blur,data/processed/id_card/back/blur/id_back_0001.jpg,,,
golden-id_card-bright-00,id_card,bright,image_bright,data/processed/id_card/back/bright/id_back_0001.jpg,,,
golden-id_card-dark-00,id_card,dark,image_dark,data/processed/id_card/back/dark/id_back_0001.jpg,,,
golden-id_card-glare-00,id_card,glare,glare_detected,data/processed/id_card/back/glare/id_back_0001.jpg,,,
golden-id_card-normal-00,id_card,normal,（无）,data/processed/id_card/back/normal/id_back_0001.jpg,,,
golden-bank_card-blur-01,bank_card,blur,image_blur,data/processed/bank_card/blur/bank_card_0002.png,,,
golden-bank_card-bright-01,bank_card,bright,image_bright,data/processed/bank_card/bright/bank_card_0002.png,,,
golden-bank_card-dark-01,bank_card,dark,image_dark,data/processed/bank_card/dark/bank_card_0002.png,,,
golden-bank_card-glare-01,bank_card,glare,glare_detected,data/processed/bank_card/glare/bank_card_0002.png,,,
golden-bank_card-normal-01,bank_card,normal,（无）,data/processed/bank_card/normal/bank_card_0002.png,,,
golden-id_card-blur-01,id_card,blur,image_blur,data/processed/id_card/back/blur/id_back_0002.jpg,,,
golden-id_card-bright-01,id_card,bright,image_bright,data/processed/id_card/back/bright/id_back_0002.jpg,,,
golden-id_card-dark-01,id_card,dark,image_dark,data/processed/id_card/back/dark/id_back_0002.jpg,,,
golden-id_card-glare-01,id_card,glare,glare_detected,data/processed/id_card/back/glare/id_back_0002.jpg,,,
golden-id_card-normal-01,id_card,normal,（无）,data/processed/id_card/back/normal/id_back_0002.jpg,,,
golden-bank_card-blur-02,bank_card,blur,image_blur,data/processed/bank_card/blur/bank_card_0003.png,,,
golden-bank_card-bright-02,bank_card,bright,image_bright,data/processed/bank_card/bright/bank_card_0003.png,,,
golden-bank_card-dark-02,bank_card,dark,image_dark,data/processed/bank_card/dark/bank_card_0003.png,,,
golden-bank_card-glare-02,bank_card,glare,glare_detected,data/processed/bank_card/glare/bank_card_0003.png,,,
golden-bank_card-normal-02,bank_card,normal,（无）,data/processed/bank_card/normal/bank_card_0003.png,,,
golden-id_card-blur-02,id_card,blur,image_blur,data/processed/id_card/back/blur/id_back_0003.jpg,,,
golden-id_card-bright-02,id_card,bright,image_bright,data/processed/id_card/back/bright/id_back_0003.jpg,,,
golden-id_card-dark-02,id_card,dark,image_dark,data/processed/id_card/back/dark/id_back_0003.jpg,,,
golden-id_card-glare-02,id_card,glare,glare_detected,data/processed/id_card/back/glare/id_back_0003.jpg,,,
golden-id_card-normal-02,id_card,normal,（无）,data/processed/id_card/back/normal/id_back_0003.jpg,,,
golden-bank_card-blur-03,bank_card,blur,image_blur,data/processed/bank_card/blur/bank_card_0004.png,,,
golden-bank_card-bright-03,bank_card,bright,image_bright,data/processed/bank_card/bright/bank_card_0004.png,,,
golden-bank_card-dark-03,bank_card,dark,image_dark,data/processed/bank_card/dark/bank_card_0004.png,,,
golden-bank_card-glare-03,bank_card,glare,glare_detected,data/processed/bank_card/glare/bank_card_0004.png,,,
golden-bank_card-normal-03,bank_card,normal,（无）,data/processed/bank_card/normal/bank_card_0004.png,,,
golden-id_card-blur-03,id_card,blur,image_blur,data/processed/id_card/back/blur/id_back_0004.jpg,,,
golden-id_card-bright-03,id_card,bright,image_bright,data/processed/id_card/back/bright/id_back_0004.jpg,,,
golden-id_card-dark-03,id_card,dark,image_dark,data/processed/id_card/back/dark/id_back_0004.jpg,,,
golden-id_card-glare-03,id_card,glare,glare_detected,data/processed/id_card/back/glare/id_back_0004.jpg,,,
golden-id_card-normal-03,id_card,normal,（无）,data/processed/id_card/back/normal/id_back_0004.jpg,,,
